incremental_qaly,incremental_cost_gbp
-7881.169035370437,67199549.30335547
-7942.965243882871,67181784.46349612
-8003.016249372134,67128507.48160875
-8061.262788745854,67039770.93564228
-8117.647379701859,66915662.397854276
-8172.11437745627,66756304.34838772
-8224.610029658183,66561854.054397926
-8275.082529436751,66332503.41484879
-8323.482066528313,66068478.77113169
-8369.760876433105,65770040.68369391
-8413.873287553062,65437483.67489689
-8455.775766264163,65071135.938358195
-8495.426959878867,64671359.015064105
-8532.787737456221,64238547.43657227
-8567.821228419383,63773128.335656665
-8600.492858942413,63275561.024779186
-8630.770386070479,62746336.54280361
-8658.623929539755,62185977.17039962
-8684.026001265638,61595035.91461478
-8706.951532470162,60974095.96312334
-8727.377898421862,60323770.10869042
-8745.284940763651,59644700.14441956
-8760.654987406677,58937556.230380386
-8773.472869970554,58203036.232241556
-8783.725938752712,57441865.03256154
-8791.404075212131,56654793.815417096
-8796.49970195512,55842599.325075306
-8799.007790213282,55006083.09944071
-8798.925864806315,54146070.67903416
-8796.254006584706,53263410.792284064
-8790.994852349937,52358974.51793381
-8783.153592252298,51433654.42539227
-8772.737964668815,50488363.69387554
-8759.75824856642,49524035.21120929
-8744.227253357847,48541620.65318112
-8726.160306260286,47542089.544351466
-8705.575237169272,46526428.30124988
-8682.492361062736,45495639.25890103
-8656.934457952562,44450739.68164105
-8628.926750403478,43392760.759200454
-8598.496878641425,42322746.58904434
-8565.674873275986,41241753.14597426
-8530.49312566381,40150847.24000863
-8492.986355942247,39051105.463569954
-8453.191578764763,37943613.12901815
-8411.148066771953,36829463.197578244
-8366.897311834178,35709755.20071963
-8320.482984104103,34585594.15505122
-8271.950888919526,33458089.471803457
-8221.348921599047,32328353.861973442
-8168.727020175159,31197502.238213435
-8114.13711611145,30066650.614546727
-8057.633083052511,28936915.004996486
-7999.270683657156,27809410.32221472
-7939.107514567411,26685249.277198035
-7877.2029495675815,25565541.28117626
-7813.618080989491,24451391.350757487
-7748.415659421735,23343899.017410092
-7681.660031782413,22244157.242357902
-7613.417077816504,21153251.337959476
-7543.754145080498,20072257.896635775
-7472.739982478501,19002243.72840348
-7400.444672415355,17944264.808062255
-7326.939561633773,16899365.233075127
-7252.29719080372,15868576.193170363
-7176.591222933519,14852914.952681683
-7099.8963706733675,13853383.846631158
-7022.2883225829655,12870969.29154564
-6943.843668436042,11906640.81198262
-6864.639823635505,10961350.083726674
-6784.754952813777,10036029.994600236
-6704.267892693739,9131593.723816019
-6623.25807428641,8248933.840779383
-6541.805444502124,7388921.424230065
-6459.990387252585,6552405.202592645
-6377.893644121644,5740210.716384053
-6295.596234683111,4953139.503504731
-6213.179376544219,4191968.3082175516
-6130.724405193639,3457448.314594943
-6048.312693733187,2750304.405190941
-5966.025572572388,2071234.44566961
-5883.944249165182,1420908.5960958675
-5802.149727867974,799968.6495684832
-5720.722729998112,209027.39884766936
-5639.743614171694,-351331.9683973044
-5559.292296999312,-880556.4451239854
-5479.448174218012,-1378123.7506678738
-5400.29004233728,-1843542.8461704366
-5321.896020876405,-2276354.4191751406
-5244.343475269944,-2676131.3369133994
-5167.708940517378,-3042479.0678330585
-5092.0680456523105,-3375036.0709534064
-5017.495439105735,-3673474.1526624486
-4944.064715037053,-3937498.7906044126
-4871.848340705525,-4166849.424337715
-4800.917584953822,-4361299.712476715
-4731.342447874302,-4520657.756063275
-4663.191591727352,-4644766.2879479155
-4596.532273180036,-4733502.82799346
-4531.430276931885,-4786779.803948186
-4467.949850793335,-4804544.63786903
-4406.153642280901,-4786779.798009686
-4346.102636791639,-4733502.816122316
-4287.856097417918,-4644766.27015584
-4231.471506461914,-4520657.732367836
-4177.004508707503,-4361299.682901278
-4124.50885650559,-4166849.3889114857
-4074.036356727022,-3937498.7493623495
-4025.6368196354592,-3673474.105645247
-3979.3580097306667,-3375036.018207468
-3935.2455986107097,-3042479.0094104484
-3893.3431198996104,-2676131.272871755
-3853.6919262849065,-2276354.3495776653
-3816.331148707551,-1843542.7710858285
-3781.2976577443906,-1378123.6701702252
-3748.626027221361,-880556.3592927344
-3718.348500093295,-351331.8773171641
-3690.494956624018,209027.49508682266
-3665.092884898135,799968.7508716658
-3642.16735369361,1420908.7023631074
-3621.740987741909,2071234.5567960292
-3603.833945400122,2750304.5210668817
-3588.4638987570956,3457448.435106054
-3575.6460161932196,4191968.4332448915
-3565.3929474110614,4953139.632924903
-3557.7148109516424,5740210.850069348
-3552.6191842086546,6552405.340411134
-3550.111095950491,7388921.5660457425
-3550.1930213574574,8248933.986452285
-3552.8648795790677,9131593.873202376
-3558.124033813835,10036030.147552624
-3565.965293911475,10961350.240094181
-3576.3809214949574,11906640.971610907
-3589.360637597352,12870969.454277154
-3604.8916328059254,13853384.012305316
-3622.9585799034867,14852915.121134972
-3643.5436489945,15868576.364236586
-3666.6265251010377,16899365.406585425
-3692.184428211211,17944264.98384539
-3720.1921357602946,19002243.906285986
-3750.6220075223487,20072258.076442096
-3783.4440128877877,21153251.51951219
-3818.625760499963,22244157.42547782
-3856.132530221526,23343899.20191649
-3895.927307399009,24451391.536468286
-3937.970819391819,25565541.46790818
-3982.221574329596,26685249.464766823
-4028.6359020596715,27809410.51043524
-4077.1679972442466,28936915.193682987
-4127.769964564726,30066650.803512994
-4180.391865988613,31197502.42727299
-4234.981770052324,32328354.05093973
-4291.485803111263,33458089.660489965
-4349.848202506617,34585594.343271725
-4410.011371596361,35709755.3882884
-4471.915936596191,36829463.38431016
-4535.5008051742825,37943613.31472896
-4600.703226742039,39051105.648076355
-4667.45885438136,40150847.42312854
-4735.7018083472685,41241753.327526964
-4805.364741083273,42322746.768850654
-4876.378903685272,43392760.937082976
-4948.674213748419,44450739.8574242
-5022.17932453,45495639.43241131
-5096.821695360053,46526428.47231607
-5172.527663230256,47542089.71280478
-5249.222515490406,48541620.818855286
-5326.830563580808,49524035.37394081
-5405.275217727731,50488363.853503816
-5484.479062528267,51433654.581759766
-5564.363933349998,52358974.670886226
-5644.850993470035,53263410.94167043
-5725.860811877364,54146070.82470706
-5807.3134416616485,55006083.24125637
-5889.128498911188,55842599.46289379
-5971.225242042131,56654793.9491024
-6053.522651480663,57441865.16198172
-6135.939509619555,58203036.35726889
-6218.394480970134,58937556.3508915
-6300.806192430586,59644700.260295495
-6383.0933135913865,60323770.21981685
-6465.174636998592,60974096.06939058
-6546.969158295799,61595036.015917964
-6628.396156165661,62185977.26663877
-6709.3752719920785,62746336.633883744
-6789.826589164461,63275561.110610425
-6869.6707119457615,63773128.41615432
-6948.8288438264935,64238547.51165688
-7027.222865287368,64671359.08466158
-7104.775410893828,65071136.00239984
-7181.4099456463955,65437483.733319506
-7257.050840511463,65770040.736439854
-7331.623447058038,66068478.818148896
-7405.054171126719,66332503.45609085
-7477.270545458248,66561854.089824155
-7548.201301209952,66756304.37796316
-7617.776438289472,66915662.421549715
-7685.927294436422,67039770.953434356
-7752.586612983737,67128507.49347991
-7817.688609231887,67181784.46943462
-7881.169035370437,67199549.30335547
